State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
Iowa,Des Moines,DSM,DSM,KDSM,Des Moines International Airport,P-S,"1,216,357"
New York,Rochester,ROC,ROC,KROC,Greater Rochester International Airport,P-S,"1,205,774"
Florida,St. Petersburg,PIE,PIE,KPIE,St. Pete–Clearwater International Airport,P-S,"1,143,483"
Florida,Pensacola,PNS,PNS,KPNS,Pensacola International Airport,P-S,"1,098,889"
Georgia,Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,"1,056,265"
Wisconsin,Madison,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,"1,043,185"
Ohio,Dayton,DAY,DAY,KDAY,James M. Cox Dayton International Airport,P-S,"1,019,922"
New York,Syracuse,SYR,SYR,KSYR,Syracuse Hancock International Airport,P-S,"1,013,149"
Califronia,Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport,P-S,"995,801"
New Hampshire,Manchester,MHT,MHT,KMHT,Manchester–Boston Regional Airport,P-S,"995,403"
South Carolina,Greenville,GSP,GSP,KGSP,Greenville–Spartanburg International Airport (Roger Milliken Field),P-S,"991,276"
Florida,Sarasota,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport,P-S,"977,530"
Arkansas,Little Rock,LIT,LIT,KLIT,Clinton National Airport (Adams Field) (was Little Rock National),P-S,"958,824"
South Carolina,Myrtle Beach,MYR,MYR,KMYR,Myrtle Beach International Airport,P-S,"944,849"
Tennessee,Knoxville,TYS,TYS,KTYS,McGhee Tyson Airport,P-S,"887,103"
Maine,Portland,PWM,PWM,KPWM,Portland International Jetport,P-S,"886,343"
North Carolina,Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,"848,261"
Florida,Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport,P-S,"821,557"
Florida,Fort Walton Beach,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,P-S,"813,600"
Kansas,Wichita,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (formerly Wichita Mid-Continent Airport),P-S,"781,944"
Califronia,Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,"761,298"
New York,White Plains,HPN,HPN,KHPN,Westchester County Airport,P-S,"759,334"
U.S. Virgin Islands,"Charlotte Amalie, St. Thomas",STT,STT,TIST,Cyril E. King Airport,P-N,"729,382"
Arizona,Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),P-S,"705,731"
Ohio,Akron,CAK,CAK,KCAK,Akron–Canton Airport,P-N,"685,553"
Arkansas,Fayetteville,XNA,XNA,KXNA,Northwest Arkansas National Airport,P-S,"673,810"
Colorado,Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,"657,694"
New York,Islip,ISP,ISP,KISP,Long Island MacArthur Airport,P-S,"648,593"
Hawaii,"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport,P-S,"640,757"
Kentucky,Lexington,LEX,LEX,KLEX,Blue Grass Airport,P-S,"638,316"
Pennsylvania,Harrisburg,MDT,MDT,KMDT,Harrisburg International Airport,P-S,"636,916"
Florida,Panama City Beach,ECP,ECP,KECP,Northwest Florida Beaches International Airport[nb 2],P-S,"621,406"
Vermont,Burlington,BTV,BTV,KBTV,Burlington International Airport,P-S,"593,311"
New Jersey,Atlantic City,ACY,ACY,KACY,Atlantic City International Airport,P-S,"589,091"
South Carolina,Columbia,CAE,CAE,KCAE,Columbia Metropolitan Airport,P-S,"553,658"
Montana,Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field Airport),P-S,"553,245"
Iowa,Cedar Rapids,CID,CID,KCID,The Eastern Iowa Airport,P-S,"547,786"
Alaska,Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,"538,881"
Alabama,Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,"527,801"
South Dakota,Sioux Falls,FSD,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),P-S,"510,105"
Florida,Key West,EYW,EYW,KEYW,Key West International Airport,P-N,"497,656"
Mississippi,Jackson,JAN,JAN,KJAN,Jackson–Medgar Wiley Evers International Airport,P-S,"491,464"
Oregon,Eugene,EUG,EUG,KEUG,Eugene Airport (Mahlon Sweet Field),P-S,"483,224"
Texas,Midland,MAF,MAF,KMAF,Midland International Air and Space Port,P-S,"471,490"
Missouri,Springfield,SGF,SGF,KSGF,Springfield–Branson National Airport,P-S,"462,126"
Texas,Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,"448,093"
Northern Marianas,"Obyan, Saipan Island",GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),P-S,"430,275"
Montana,Billings,BIL,BIL,KBIL,Billings Logan International Airport,P-N,"423,213"
Tennessee,Chattanooga,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),P-S,"422,442"
Alaska,Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,"420,442"
North Carolina,Asheville,AVL,AVL,KAVL,Asheville Regional Airport,P-S,"416,939"
Washington,Bellingham,BLI,BLI,KBLI,Bellingham International Airport,P-N,"415,285"
Florida,Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport,P-N,"415,272"
North Carolina,Wilmington,ILM,ILM,KILM,Wilmington International Airport,P-S,"413,185"
North Dakota,Fargo,FAR,FAR,KFAR,Hector International Airport,P-N,"402,976"
Oregon,Medford,MFR,MFR,KMFR,Rogue Valley International–Medford Airport,P-S,"401,469"
Michigan,Flint,FNT,FNT,KFNT,Bishop International Airport,P-N,"398,508"
Montana,Missoula,MSO,MSO,KMSO,Missoula International Airport,P-N,"381,582"
Wyoming,Jackson,JAC,JAC,KJAC,Jackson Hole Airport,P-N,"381,539"
Pennsylvania,Allentown,ABE,ABE,KABE,Lehigh Valley International Airport (was Allentown–Bethlehem–Easton International Airport),P-N,"376,769"
Washington,Pasco,PSC,PSC,KPSC,Tri-Cities Airport,P-N,"374,301"
Illinois,Moline,MLI,MLI,KMLI,Quad City International Airport,P-N,"364,393"
Louisiana,Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,"364,200"
Indiana,Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport,P-N,"360,369"
Texas,McAllen,MFE,MFE,KMFE,McAllen Miller International Airport,P-N,"355,224"
Wisconsin,Appleton,ATW,ATW,KATW,Appleton International Airport,P-N,"348,026"
Florida,Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,"340,815"
Texas,Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport,P-N,"334,815"
Indiana,South Bend,SBN,SBN,KSBN,South Bend International Airport (was South Bend Regional),P-N,"329,957"
Califronia,Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-N,"329,751"
Texas,Corpus Christi,CRP,CRP,KCRP,Corpus Christi International Airport,P-N,"325,815"
Arizona,Grand Canyon,GCN,GCN,KGCN,Grand Canyon National Park Airport,P-N,"319,206"
Wisconsin,Green Bay,GRB,GRB,KGRB,Green Bay–Austin Straubel International Airport,P-N,"314,909"
Illinois,Peoria,PIA,PIA,KPIA,General Wayne A. Downing Peoria International Airport,P-N,"307,189"
Oregon,Redmond,RDM,RDM,KRDM,Redmond Municipal Airport (Roberts Field),P-N,"306,517"
Virginia,Roanoke,ROA,ROA,KROA,Roanoke–Blacksburg Regional Airport (Woodrum Field),P-N,"305,212"
Mississippi,Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport–Biloxi International Airport,P-N,"305,157"
Virginia,Charlottesville,CHO,CHO,KCHO,Charlottesville–Albemarle Airport,P-N,"295,930"
Alabama,Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,"288,209"
New Jersey,Trenton,TTN,TTN,KTTN,Trenton Mercer Airport,P-N,"278,436"
North Dakota,Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport,P-N,"273,980"
Florida,Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,"273,253"
South Dakota,Rapid City,RAP,RAP,KRAP,Rapid City Regional Airport,P-N,"272,537"
Georgia,Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,"270,797"
Louisiana,Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,"270,395"
Maine,Bangor,BGR,BGR,KBGR,Bangor International Airport,P-N,"269,013"
Texas,Harlingen,HRL,HRL,KHRL,Valley International Airport,P-N,"263,760"
Pennsylvania,Wilkes-Barre,AVP,AVP,KAVP,Wilkes-Barre/Scranton International Airport,P-N,"258,830"
Puerto Rico,Aguadilla,BQN,BQN,TJBQ,Rafael Hernández International Airport,P-N,"257,871"
Colorado,Aspen,ASE,ASE,KASE,Aspen/Pitkin County Airport (Sardy Field),P-N,"254,392"
Montana,Kalispell,GPI,FCA,KGPI,Glacier Park International Airport,P-N,"247,816"
Florida,Melbourne,MLB,MLB,KMLB,Orlando Melbourne International Airport,P-N,"241,289"
New York,Newburgh,SWF,SWF,KSWF,Stewart International Airport,P-N,"228,640"
North Carolina,Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field),P-N,"224,541"
Michigan,Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,"223,924"
Colorado,Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,"218,319"
West Virginia,Charleston,CRW,CRW,KCRW,Yeager Airport,P-N,"213,412"
Nevada,Boulder City,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,"211,615"
Louisiana,Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport,P-N,"206,667"
Tennessee,Tri-Cities,TRI,TRI,KTRI,Tri-Cities Regional Airport (Tri-Cities Regional TN/VA),P-N,"204,926"
Indiana,Evansville,EVV,EVV,KEVV,Evansville Regional Airport,P-N,"204,352"
Virginia,Newport News,PHF,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,"199,421"
U.S. Virgin Islands,"Christiansted, St. Croix",STX,STX,TISX,Henry E. Rohlsen Airport,P-N,"196,047"
Califronia,Monterey,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport),P-N,"192,136"
Illinois,Bloomington,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,"188,490"
Colorado,Durango,DRO,DRO,KDRO,Durango–La Plata County Airport,P-N,"187,789"
Montana,Great Falls,GTF,GTF,KGTF,Great Falls International Airport,P-N,"176,730"
Alabama,Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,"173,210"
Califronia,Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,"167,151"
Colorado,Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,"163,840"
Nebraska,Lincoln,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,"162,876"
Califronia,San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,"162,719"
Michigan,Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"161,863"
Texas,Killeen,GRK,GRK,KGRK,Killeen–Fort Hood Regional Airport / Robert Gray Army Airfield,P-N,"157,161"
Alaska,Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,"155,791"
Michigan,Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"154,242"
Pennsylvania,State College,UNV,SCE,KUNV,University Park Airport,P-N,"153,737"
Pennsylvania,Latrobe,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,"151,704"
North Dakota,Minot,MOT,MOT,KMOT,Minot International Airport,P-N,"150,634"
North Carolina,Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,"149,987"
Idaho,Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,"146,213"
New York,Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,"142,605"
New York,Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,"139,398"
